,Origin_airport,Destination_airport,Total_passengers,Total_departures,KMeansCluster
25706,OGG,HNL,32364612,394909,3
15625,HNL,OGG,29744742,389964,3
19159,LAX,HNL,28964154,140973,3
15606,HNL,LAX,28632161,135848,3
18874,LAS,LAX,26333721,291759,3
19179,LAX,LAS,26177809,296392,3
19268,LAX,SFO,25661782,324666,3
31994,SFO,LAX,25458207,311783,3
1990,ATL,MCO,23483751,162480,3
26439,ORD,LAX,22979359,185762,3
19228,LAX,ORD,22936415,180494,3
21675,MCO,ATL,22754168,157381,3
19176,LAX,JFK,22289567,166684,3
27631,PHX,LAS,21697391,231211,3
1900,ATL,DFW,21626001,202263,3
18226,JFK,LAX,21582405,166729,3
27633,PHX,LAX,21490581,258612,3
9576,DFW,ATL,21315212,197433,3
18928,LAS,PHX,21281657,228893,3
19234,LAX,PHX,21204804,256481,3
20095,LGA,ORD,20147022,214492,3
26446,ORD,LGA,19834394,209780,3
26537,ORD,SFO,18614521,126993,1
32037,SFO,ORD,18311167,127323,1
8923,DAL,HOU,17855661,197641,1
15751,HOU,DAL,17717480,210632,1
34795,TPA,ATL,17462127,127825,1
2086,ATL,TPA,17409235,128420,1
1922,ATL,FLL,17212233,117241,1
19965,LGA,ATL,17173288,145424,1
1977,ATL,LGA,17156648,145852,1
12427,FLL,ATL,17148742,118999,1
26363,ORD,DFW,16618226,186476,1
9701,DFW,LAX,16502303,134811,1
2023,ATL,ORD,16479809,173861,1
26302,ORD,ATL,16426251,170177,1
9756,DFW,ORD,16405044,181824,1
19115,LAX,DFW,16068593,137152,1
15641,HNL,SFO,16047844,68495,1
31977,SFO,HNL,15963958,68483,1
26479,ORD,MSP,15686177,233709,1
11856,EWR,ORD,15639429,189446,1
19982,LGA,BOS,15630422,235922,1
24624,MSP,ORD,15615489,233805,1
4585,BOS,LGA,15612064,234815,1
1998,ATL,MIA,15529183,131602,1
26380,ORD,EWR,15483356,182608,1
19221,LAX,OAK,15225696,189469,1
25527,OAK,LAX,15203865,192208,1
23115,MIA,ATL,15186192,128203,1
11693,EWR,ATL,15031721,152221,1
